Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company_Name,Sector
2021-02-17 00:00:00-05:00,198.99979013114793,201.9276875904596,198.80589287015127,201.18116760253906,8373200,0.0,0.0,Visa Inc.,Financial Services
2021-02-18 00:00:00-05:00,199.60091744779092,203.30440444419472,198.70897809371766,202.965087890625,7328600,0.0,0.0,Visa Inc.,Financial Services
2021-02-19 00:00:00-05:00,202.95534710622033,203.1395546734374,197.54552944936356,198.48594665527344,15011500,0.0,0.0,Visa Inc.,Financial Services
2021-02-22 00:00:00-05:00,197.3419669563799,204.22541641677788,196.91538407280885,201.96649169921875,8337700,0.0,0.0,Visa Inc.,Financial Services
2021-02-23 00:00:00-05:00,201.07452758747806,207.38598938465753,200.2504605065389,205.64088439941406,10571700,0.0,0.0,Visa Inc.,Financial Services
2021-02-24 00:00:00-05:00,205.88327461631587,213.80409761404275,204.8459012355453,212.73764038085938,12039000,0.0,0.0,Visa Inc.,Financial Services
2021-02-25 00:00:00-05:00,212.60189520216693,213.72652005763908,206.09655093742174,207.23086547851562,11404300,0.0,0.0,Visa Inc.,Financial Services
2021-02-26 00:00:00-05:00,207.52171363497115,208.64633846258945,204.31266735749526,205.91233825683594,11730000,0.0,0.0,Visa Inc.,Financial Services
2021-03-01 00:00:00-05:00,208.41366529740537,211.15735535210717,208.23914739624067,210.02304077148438,6982000,0.0,0.0,Visa Inc.,Financial Services
2021-03-02 00:00:00-05:00,210.34297877009925,211.28338128798478,208.26824687364197,209.18927001953125,6155200,0.0,0.0,Visa Inc.,Financial Services
2021-03-03 00:00:00-05:00,208.58815600050517,210.565946531214,206.3680049879153,208.2973175048828,6484600,0.0,0.0,Visa Inc.,Financial Services
2021-03-04 00:00:00-05:00,209.38315538728023,210.40113450892062,202.30579434327194,205.0494842529297,10658900,0.0,0.0,Visa Inc.,Financial Services
2021-03-05 00:00:00-05:00,207.21147089912404,209.50919862040433,203.2365251704405,208.84024047851562,7582000,0.0,0.0,Visa Inc.,Financial Services
2021-03-08 00:00:00-05:00,210.36235022237952,219.2332944032274,209.22803567992617,213.55201721191406,14750400,0.0,0.0,Visa Inc.,Financial Services
2021-03-09 00:00:00-05:00,215.2874159097954,218.13775156384236,213.47445355291254,213.63926696777344,9228600,0.0,0.0,Visa Inc.,Financial Services
